wikidata_id,phd_romance,phd_germanic,phd_slavic
Q210872,8.198480823920757,8.50285740467878,9.450210308806339
Q40133,8.60157465646817,9.273060548953891,9.701887294954872
Q203179,7.786416447382466,9.07179828430748,7.950801561294533
Q7013,8.774219324656572,8.676166965249266,8.697778047253877
Q5151,8.31087479571596,9.448376907565354,8.607812681600205
Q185612,7.904274691186224,8.605197833083054,8.041974262628074
Q78473,7.391539633900959,7.630567037543306,7.966141814128623
Q11922,8.574306604490246,8.490373731316033,8.435809292722583
Q207,8.265025544719009,8.342137085591276,8.034015504419779
Q9368,7.916395646896181,8.599229819564217,9.212602196893208
Q742,9.92832369634866,9.140190753492778,9.22408678234214
Q44860,8.753949951377,8.61656459083689,8.475103745487175
Q11547,7.746874326045731,9.065599957440444,8.221034139824354
Q849194,8.555582865155086,9.371158458511065,9.371682924866787
Q160714,10.302722663146797,10.543895387303152,10.006272256317954
Q35216,9.75613391334529,9.602354696863527,9.606852811360884
Q153670,8.924100117021547,8.912069937704358,9.016591359439747
Q76730,8.974720704782625,8.921763497851769,8.245404373097916
Q164963,8.600708215274715,9.074018457584902,9.065087727310974
Q13634114,6.627273879076853,7.548702174366149,7.343971185105929
Q47075,9.506428413676314,10.112469606980314,9.40540213833536
Q10435,8.89235467015199,9.260698289238697,8.682095205524089
Q78987,7.211440445977943,7.996229485245339,7.641800582419277
Q1022,9.963999844637224,9.72556866328956,10.26671092764352
Q47950,8.125069678220015,8.506387857986326,8.95404956703576
Q82996,8.774839915513706,8.230066109282081,8.720554039244412
Q7836,9.389453923509002,9.483386823006066,8.666245395300002
Q2492,8.329232257146025,8.894897437669227,8.62149220344972
Q40096,9.013262001935484,10.084826565561016,8.619147118215015
Q19697,7.192116026960587,7.985963250967309,7.959572423906935
Q134180,9.09505146578715,8.510501183756244,8.98399877483574
Q327681,9.321534644575102,10.196032204829338,9.305975233575849
Q164562,9.328267723082256,9.985741298272734,8.871528665295852
Q124255,8.622817482702928,8.74071806713729,9.191496845099
Q12143,9.271125209921285,9.302219921751307,9.225105985151579
Q188951,7.143129628268682,7.735771185863776,7.803004856877729
Q1042,8.682937506780162,9.08152998488918,9.302220276945688
Q42240,8.788786042277142,8.901522416383422,8.368999627867899
Q199960,7.7457124791878496,7.982645370064718,8.586432877008782
Q872181,8.278591048821173,8.563684727542723,8.309951645854579
Q7311,7.140658048781092,7.555153782000413,7.793503826997762
Q31,8.673456156308186,9.484999865536931,9.191359500799809
Q80839,7.538123166725693,7.869260107492824,8.18762553427639
Q654136,6.620545945801207,7.455641513944519,8.124209228536905
Q162182,9.595430090206092,10.13674088131609,9.804565007912084
Q127920,7.158435418313358,8.546133756576186,7.837650329146662
Q50716,8.216990287276072,8.397174773887363,8.102645852857123
Q382393,8.202792214941725,8.107695843977524,7.726424776267084
Q163666,7.189824331984386,7.7872128551492095,7.579055158328928
Q173684,8.173172653140707,8.613767697906493,8.895637170027058
Q40504,9.59710463640324,9.634594345580112,9.587723235701464
Q132730,5.706160475605044,6.145556223813921,5.95588614184339
